Product,DeviceCategory,session_id,total_cost,impression_count
Exchange Bidding,Desktop,190407_3002,0.8338709999999999,754
Ad Exchange,Smartphone,188424_2000,0.824259,479
Ad Exchange,Desktop,188400_3022,0.8238639999999999,1281
Ad Exchange,Smartphone,190066_1010,0.811788,702
Ad Exchange,Smartphone,192279_1000,0.810352,1120
Exchange Bidding,Smartphone,192671_1003,0.81021,296
Ad Exchange,Desktop,25534_3000,0.8048609999999999,1963
Exchange Bidding,Desktop,191542_3089,0.8019259999999999,930
Ad Exchange,Smartphone,190791_9002,0.7980039999999999,1314
Ad Exchange,Smartphone,191929_2005,0.797916,709
Ad Exchange,Smartphone,190066_1029,0.782975,596
Ad Exchange,Smartphone,187102_5000,0.776824,352
Ad Exchange,Smartphone,186567_3019,0.768481,220
Ad Exchange,Desktop,188590_2000,0.7649889999999999,1672
Ad Exchange,Desktop,192147_3076,0.7634869999999999,1751
Ad Exchange,Tablet,188943_1023,0.7624639999999999,170
Ad Exchange,Desktop,190667_3038,0.758552,858
Ad Exchange,Smartphone,190791_1019,0.755567,651
Ad Exchange,Smartphone,192731_1000,0.7495299999999999,658
Ad Exchange,Desktop,190848_3000,0.7481679999999999,1039
Ad Exchange,Smartphone,186400_3014,0.743374,496
Ad Exchange,Smartphone,190082_1031,0.741398,518
Ad Exchange,Desktop,191723_2001,0.734393,1408
Ad Exchange,Smartphone,192744_1001,0.732495,626
Ad Exchange,Desktop,191943_2000,0.726391,1083
Ad Exchange,Smartphone,186116_1013,0.723411,271
Ad Exchange,Desktop,191144_3106,0.716866,1020
Ad Exchange,Tablet,192125_2000,0.7138249999999999,1315
Ad Exchange,Smartphone,190662_1004,0.711846,488
Ad Exchange,Desktop,190728_2003,0.7106429999999999,997
Exchange Bidding,Smartphone,192344_2000,0.708425,343
Ad Exchange,Smartphone,190067_1015,0.707293,913
Exchange Bidding,Desktop,191939_2003,0.703259,728
Ad Exchange,Smartphone,191704_1075,0.698635,274
Ad Exchange,Smartphone,192644_2000,0.689014,794
Ad Exchange,Smartphone,192673_1001,0.686086,606
Exchange Bidding,Smartphone,191838_3014,0.683464,246
Ad Exchange,Smartphone,189655_5002,0.6742699999999999,415
Ad Exchange,Smartphone,192129_1004,0.672478,693
Ad Exchange,Desktop,191464_3010,0.671014,1483
Exchange Bidding,Smartphone,191154_1014,0.664476,296
Exchange Bidding,Smartphone,191939_2003,0.65833,539
Ad Exchange,Smartphone,192155_3026,0.656272,294
Exchange Bidding,Desktop,190887_3004,0.654721,730
Ad Exchange,Smartphone,191154_1007,0.647446,458
Ad Exchange,Desktop,190603_2000,0.639838,1338
Exchange Bidding,Desktop,191940_3002,0.639595,960
Ad Exchange,Smartphone,192733_1000,0.637396,719
Ad Exchange,Smartphone,192277_1001,0.623211,201
Ad Exchange,Desktop,191436_3002,0.620839,837
Ad Exchange,Smartphone,192043_1002,0.6187549999999999,1093
Ad Exchange,Smartphone,192084_1016,0.615983,475
Ad Exchange,Smartphone,190444_1013,0.610012,224
Ad Exchange,Smartphone,190551_1028,0.599656,427
Ad Exchange,Smartphone,192582_1003,0.585958,227
Ad Exchange,Smartphone,186122_1019,0.583244,301
Exchange Bidding,Smartphone,189163_1034,0.5811999999999999,233
Ad Exchange,Desktop,191464_3006,0.578587,909
Ad Exchange,Smartphone,192003_1003,0.577762,282
Exchange Bidding,Desktop,191375_3044,0.576318,841
Ad Exchange,Smartphone,191741_3004,0.572846,259
Ad Exchange,Smartphone,189308_5000,0.567869,313
Exchange Bidding,Desktop,191611_1000,0.567855,303
Ad Exchange,Desktop,191056_3004,0.566555,907
Exchange Bidding,Desktop,189702_3093,0.560639,265
Exchange Bidding,Desktop,191723_2001,0.5594979999999999,601
Exchange Bidding,Desktop,191731_3001,0.5588259999999999,1152
Ad Exchange,Desktop,186853_3024,0.556735,907
Ad Exchange,Desktop,191927_3031,0.55368,1352
Ad Exchange,Smartphone,192745_1009,0.550898,1296
Ad Exchange,Smartphone,192196_1012,0.549115,177
Ad Exchange,Tablet,191721_2002,0.548821,1346
Exchange Bidding,Desktop,190044_3062,0.548339,780
Ad Exchange,Desktop,192371_3082,0.5476219999999999,742
Exchange Bidding,Smartphone,192699_1000,0.544934,517
Ad Exchange,Smartphone,190206_3000,0.540304,293
Ad Exchange,Smartphone,186205_3030,0.540049,195
Ad Exchange,Smartphone,188589_5034,0.539418,285
Ad Exchange,Desktop,191654_3003,0.539316,1158
Ad Exchange,Smartphone,190205_3008,0.537494,254
Ad Exchange,Desktop,191144_3006,0.5374,1149
Ad Exchange,Smartphone,192745_1006,0.53709,465
Ad Exchange,Smartphone,192040_1000,0.535729,294
Ad Exchange,Smartphone,192710_1000,0.535553,356
Ad Exchange,Smartphone,192084_1013,0.535187,379
Ad Exchange,Tablet,192344_2000,0.5329659999999999,1013
Ad Exchange,Smartphone,191864_1020,0.532318,336
Exchange Bidding,Smartphone,191396_1003,0.529122,295
Exchange Bidding,Smartphone,188313_1017,0.527622,315
Exchange Bidding,Desktop,191654_3004,0.527313,374
Exchange Bidding,Smartphone,192338_2000,0.52264,396
Ad Exchange,Smartphone,190936_3034,0.5161049999999999,241
Ad Exchange,Tablet,188865_1014,0.514297,124
Ad Exchange,Smartphone,181415_1950,0.5117389999999999,498
Ad Exchange,Desktop,191931_2007,0.5065149999999999,991
Ad Exchange,Smartphone,186106_3170,0.506397,490
Ad Exchange,Smartphone,190668_1054,0.504062,297
Ad Exchange,Tablet,189484_3139,0.501435,326
Exchange Bidding,Smartphone,167551_1000,0.500672,567
Exchange Bidding,Smartphone,188535_1143,0.498365,239
Ad Exchange,Desktop,192371_3052,0.496745,437
Ad Exchange,Smartphone,192129_1003,0.49571299999999996,496
Ad Exchange,Smartphone,192346_2000,0.49507599999999996,859
Exchange Bidding,Smartphone,191870_1004,0.494843,356
Ad Exchange,Tablet,188943_1031,0.494345,230
Ad Exchange,Desktop,191056_3002,0.493398,816
Ad Exchange,Smartphone,192196_1020,0.49077499999999996,159
Exchange Bidding,Desktop,172537_3002,0.48822699999999997,315
Exchange Bidding,Smartphone,190791_1019,0.486259,343
Exchange Bidding,Desktop,190237_3023,0.48263,562
Ad Exchange,Smartphone,189484_1157,0.47790599999999994,204
Ad Exchange,Smartphone,192671_1003,0.47689499999999996,427
Ad Exchange,Tablet,191809_1000,0.47512699999999997,152
Ad Exchange,Smartphone,191931_2005,0.474576,438
Ad Exchange,Desktop,191768_3000,0.47301699999999997,666
Exchange Bidding,Smartphone,191759_3151,0.47142799999999996,275
Ad Exchange,Desktop,191721_2000,0.46701,1008
Ad Exchange,Desktop,191197_3105,0.46632999999999997,487
Ad Exchange,Desktop,190875_3037,0.46579299999999996,646
Ad Exchange,Smartphone,192160_1017,0.46471999999999997,335
Ad Exchange,Smartphone,192744_1000,0.46431999999999995,546
Exchange Bidding,Smartphone,192748_1000,0.46378199999999997,425
Ad Exchange,Smartphone,192184_1001,0.46333199999999997,449
Ad Exchange,Smartphone,192710_1002,0.462928,349
Ad Exchange,Smartphone,190046_1115,0.46088199999999996,272
Ad Exchange,Smartphone,191702_1045,0.459694,207
Exchange Bidding,Smartphone,191981_3000,0.45839599999999997,209
Exchange Bidding,Smartphone,191313_3030,0.455617,223
Exchange Bidding,Desktop,191623_3048,0.450468,614
Ad Exchange,Smartphone,190548_1019,0.44714699999999996,165
Ad Exchange,Smartphone,189501_1054,0.44688,426
Ad Exchange,Smartphone,25804_3002,0.44462799999999997,271
Exchange Bidding,Desktop,188549_1000,0.440984,492
Ad Exchange,Desktop,191464_3008,0.439934,1129
Ad Exchange,Smartphone,192716_1001,0.439221,426
Ad Exchange,Smartphone,188725_3022,0.43873399999999996,204
Ad Exchange,Desktop,192337_3006,0.438089,640
Ad Exchange,Smartphone,191864_1022,0.437799,255
Ad Exchange,Desktop,186763_3041,0.437318,503
Ad Exchange,Smartphone,191980_3002,0.43665,161
Ad Exchange,Tablet,191943_2000,0.436342,472
Ad Exchange,Smartphone,190066_1071,0.436266,458
Ad Exchange,Tablet,191939_2013,0.435934,675
Exchange Bidding,Desktop,190728_2003,0.434701,440
Exchange Bidding,Smartphone,190548_1025,0.43238899999999997,141
Ad Exchange,Desktop,192337_3072,0.43069799999999997,455
Ad Exchange,Desktop,191653_3006,0.429178,995
Ad Exchange,Tablet,192734_1000,0.42666499999999996,538
Ad Exchange,Desktop,26956_1026,0.425738,731
Ad Exchange,Smartphone,192128_1002,0.425365,280
Ad Exchange,Desktop,191313_3018,0.424107,716
Ad Exchange,Smartphone,190951_1000,0.42322499999999996,338
Ad Exchange,Desktop,191382_3048,0.42297999999999997,852
Ad Exchange,Tablet,191723_2001,0.422516,705
Ad Exchange,Smartphone,187841_1000,0.41385,190
Ad Exchange,Smartphone,192745_1000,0.411607,369
Ad Exchange,Smartphone,190667_1041,0.407751,164
Ad Exchange,Tablet,191107_1004,0.403935,151
Ad Exchange,Desktop,192294_3001,0.398959,1288
Ad Exchange,Smartphone,189309_5109,0.39885899999999996,255
Ad Exchange,Smartphone,188943_1036,0.396829,133
Ad Exchange,Smartphone,191481_1066,0.39664499999999997,174
Exchange Bidding,Desktop,181415_3000,0.39034199999999997,331
Ad Exchange,Smartphone,192221_1002,0.385478,105
Ad Exchange,Smartphone,181415_1949,0.38526699999999997,334
Ad Exchange,Smartphone,192673_1004,0.384671,339
Ad Exchange,Desktop,186853_3038,0.382806,222
Ad Exchange,Smartphone,190658_1021,0.38254299999999997,142
Ad Exchange,Smartphone,191711_1001,0.38172799999999996,179
Ad Exchange,Desktop,191522_3018,0.378365,561
Ad Exchange,Smartphone,190727_2000,0.376822,376
Ad Exchange,Desktop,191056_3000,0.375422,539
Exchange Bidding,Smartphone,192761_1000,0.374809,281
Ad Exchange,Tablet,192036_1003,0.37251399999999996,183
Exchange Bidding,Smartphone,188943_1023,0.37180799999999997,161
Ad Exchange,Smartphone,191654_1005,0.369641,274
Ad Exchange,Smartphone,191759_3044,0.36957599999999996,232
Exchange Bidding,Desktop,190848_3000,0.368542,484
Ad Exchange,Smartphone,191313_1000,0.36813599999999996,205
Ad Exchange,Smartphone,192198_1001,0.367803,88
Ad Exchange,Desktop,191382_3038,0.365814,819
Exchange Bidding,Desktop,191931_2007,0.36252399999999996,389
Ad Exchange,Desktop,188535_3139,0.356771,707
Exchange Bidding,Smartphone,188943_1035,0.35603199999999996,126
Exchange Bidding,Smartphone,185874_3003,0.35584899999999997,230
Exchange Bidding,Smartphone,192728_1000,0.355049,298
Ad Exchange,Desktop,192143_3034,0.354541,372
Ad Exchange,Smartphone,189309_2110,0.353813,242
Ad Exchange,Desktop,190711_3018,0.35359799999999997,735
Ad Exchange,Smartphone,192320_1000,0.348263,583
Ad Exchange,Smartphone,192745_1004,0.34765399999999996,954
Ad Exchange,Smartphone,192101_1002,0.346342,269
Ad Exchange,Smartphone,192745_1005,0.345335,943
Ad Exchange,Smartphone,189600_5004,0.343639,162
Ad Exchange,Smartphone,190699_1018,0.340018,174
Ad Exchange,Tablet,191154_1007,0.339734,103
Exchange Bidding,Smartphone,192673_1001,0.33954399999999996,245
Exchange Bidding,Desktop,192280_3000,0.339401,362
Ad Exchange,Smartphone,192745_1002,0.33668699999999996,381
Exchange Bidding,Desktop,191721_2000,0.33577999999999997,404
Ad Exchange,Desktop,188943_3037,0.335128,406
Ad Exchange,Tablet,190444_1013,0.334704,182
Ad Exchange,Tablet,192353_2002,0.334391,686
Ad Exchange,Tablet,192716_1000,0.332658,372
Ad Exchange,Desktop,188943_3018,0.332458,462
Ad Exchange,Smartphone,192668_1005,0.330747,269
Ad Exchange,Smartphone,190668_1053,0.328774,195
Exchange Bidding,Smartphone,186105_5049,0.328554,180
Ad Exchange,Tablet,191939_2003,0.326693,620
Ad Exchange,Desktop,191732_3001,0.326351,569
Ad Exchange,Desktop,190971_3007,0.326085,901
Ad Exchange,Desktop,192337_3034,0.32498499999999997,722
Ad Exchange,Smartphone,192672_1004,0.324052,364
Exchange Bidding,Smartphone,192634_1000,0.323901,141
Ad Exchange,Tablet,192643_2003,0.32012199999999996,534
Exchange Bidding,Smartphone,189484_1154,0.318716,227
Ad Exchange,Smartphone,191931_2008,0.318544,388
Ad Exchange,Smartphone,192643_2003,0.317614,727
Ad Exchange,Desktop,187160_3048,0.31743099999999996,677
Exchange Bidding,Smartphone,191702_1047,0.316855,231
Ad Exchange,Tablet,190728_2003,0.316556,464
Ad Exchange,Smartphone,191971_3010,0.315861,149
Ad Exchange,Desktop,190551_3020,0.315349,731
Ad Exchange,Desktop,188384_5005,0.314783,787
Ad Exchange,Smartphone,190660_1000,0.314426,76
Exchange Bidding,Smartphone,188952_1036,0.31265,173
Exchange Bidding,Smartphone,192745_1006,0.311953,183
Ad Exchange,Smartphone,191444_1003,0.31193699999999996,148
Ad Exchange,Smartphone,189521_1010,0.310417,111
Ad Exchange,Smartphone,192101_1006,0.310067,290
Exchange Bidding,Tablet,192645_2002,0.306407,300
Ad Exchange,Smartphone,192101_1004,0.305347,465
Ad Exchange,Tablet,192277_1001,0.305343,91
Exchange Bidding,Desktop,188943_3038,0.303376,402
Ad Exchange,Smartphone,190430_1007,0.303148,139
Exchange Bidding,Tablet,181415_1949,0.30139099999999996,41
Exchange Bidding,Tablet,191154_1014,0.301218,151
Ad Exchange,Smartphone,188614_1263,0.300417,168
Ad Exchange,Desktop,188862_3012,0.29953799999999997,452
Exchange Bidding,Smartphone,192320_1000,0.297907,337
Ad Exchange,Tablet,192748_1000,0.297595,357
Ad Exchange,Smartphone,192710_1001,0.296522,310
Exchange Bidding,Desktop,192282_3001,0.294777,436
Ad Exchange,Desktop,186728_3121,0.29440099999999997,553
Ad Exchange,Smartphone,191741_3000,0.29328499999999996,107
Ad Exchange,Smartphone,191396_1012,0.292527,184
Ad Exchange,Smartphone,190662_3002,0.29242199999999996,150
Ad Exchange,Smartphone,192365_2000,0.291555,243
Exchange Bidding,Desktop,190667_3038,0.289273,332
Exchange Bidding,Smartphone,190774_1006,0.28603999999999996,213
Ad Exchange,Desktop,191010_3011,0.283588,335
Ad Exchange,Desktop,190712_3008,0.28249199999999997,710
Exchange Bidding,Smartphone,192159_1008,0.28164,223
Ad Exchange,Smartphone,191929_2003,0.281221,509
Ad Exchange,Desktop,191332_3036,0.280466,767
Ad Exchange,Desktop,186853_3014,0.280342,199
Ad Exchange,Tablet,191742_1001,0.27636499999999997,137
Ad Exchange,Smartphone,192674_1000,0.27605199999999996,217
Ad Exchange,Smartphone,192382_2000,0.274758,655
Ad Exchange,Desktop,192141_3003,0.27342099999999997,498
Ad Exchange,Tablet,190067_1015,0.273049,400
Ad Exchange,Desktop,191396_3004,0.272481,610
Ad Exchange,Desktop,186950_1315,0.268822,706
Ad Exchange,Desktop,191464_3022,0.268555,656
Exchange Bidding,Smartphone,192101_1002,0.268001,201
Exchange Bidding,Smartphone,192041_1004,0.266976,130
Exchange Bidding,Desktop,188884_1004,0.26683,271
Exchange Bidding,Smartphone,191967_3078,0.265945,84
Exchange Bidding,Desktop,190237_3040,0.264635,336
Ad Exchange,Smartphone,191720_1001,0.263161,180
Ad Exchange,Smartphone,192672_1001,0.261984,290
Ad Exchange,Smartphone,191864_1028,0.261824,197
Ad Exchange,Smartphone,188112_1012,0.259656,207
Ad Exchange,Smartphone,190082_1037,0.259555,173
Ad Exchange,Smartphone,189501_1055,0.259498,125
Ad Exchange,Smartphone,191144_3128,0.259271,144
Ad Exchange,Smartphone,191721_2005,0.257596,522
Ad Exchange,Desktop,191653_3014,0.257275,678
Exchange Bidding,Desktop,192141_3022,0.256613,85
Ad Exchange,Smartphone,167576_1123,0.255414,224
Ad Exchange,Smartphone,190551_1006,0.255301,198
Ad Exchange,Tablet,190728_2000,0.254698,404
Ad Exchange,Smartphone,190082_1038,0.25443699999999997,243
Exchange Bidding,Desktop,192371_3052,0.254026,172
Ad Exchange,Smartphone,190044_1062,0.252418,89
Exchange Bidding,Smartphone,192332_1003,0.251903,96
Ad Exchange,Smartphone,191703_1047,0.251751,193
Ad Exchange,Smartphone,188952_1023,0.249241,99
Ad Exchange,Tablet,192634_1000,0.248933,276
Exchange Bidding,Desktop,191144_3106,0.248726,285
Exchange Bidding,Desktop,191197_3105,0.24867799999999998,268
Ad Exchange,Smartphone,190371_1101,0.24837599999999999,122
Ad Exchange,Smartphone,192291_1000,0.24770999999999999,243
Ad Exchange,Desktop,191226_3000,0.247498,239
Ad Exchange,Desktop,192337_3076,0.24713,444
Ad Exchange,Smartphone,192197_1002,0.246139,142
Ad Exchange,Smartphone,189681_3002,0.245768,126
Ad Exchange,Desktop,191464_3012,0.24542799999999998,600
Ad Exchange,Desktop,192653_3018,0.243636,395
Ad Exchange,Smartphone,192754_1000,0.242726,213
Exchange Bidding,Smartphone,192101_1006,0.24253899999999998,214
Exchange Bidding,Smartphone,192036_1003,0.241149,162
Ad Exchange,Smartphone,192081_1020,0.23668399999999998,194
Ad Exchange,Desktop,191384_3028,0.236641,316
Ad Exchange,Desktop,191436_3012,0.23618799999999998,376
Exchange Bidding,Smartphone,191704_1075,0.235924,72
Ad Exchange,Tablet,191396_1003,0.23327699999999998,97
Ad Exchange,Tablet,192282_1000,0.232872,136
Exchange Bidding,Desktop,188590_2000,0.232199,340
Ad Exchange,Smartphone,190407_1015,0.231875,187
Ad Exchange,Smartphone,190044_1066,0.230379,96
Ad Exchange,Smartphone,192745_1003,0.23030399999999998,489
Exchange Bidding,Desktop,191313_3094,0.22883699999999998,426
Ad Exchange,Smartphone,192330_1004,0.227158,253
Ad Exchange,Smartphone,186948_1283,0.226991,88
Ad Exchange,Desktop,192057_3016,0.226353,276
Ad Exchange,Desktop,192644_2000,0.22627499999999998,364
Ad Exchange,Smartphone,192250_1005,0.22565,163
Exchange Bidding,Smartphone,192745_1000,0.222989,183
Ad Exchange,Smartphone,192042_1002,0.220486,245
Ad Exchange,Smartphone,191704_1073,0.219709,58
Exchange Bidding,Smartphone,192129_1004,0.219411,115
Exchange Bidding,Desktop,188400_3022,0.21870099999999998,288
Exchange Bidding,Desktop,191654_3017,0.21833999999999998,247
Exchange Bidding,Desktop,191436_3010,0.216394,261
Ad Exchange,Smartphone,192732_1000,0.216144,162
Ad Exchange,Desktop,191094_3014,0.21545899999999998,294
Ad Exchange,Desktop,192143_3002,0.21531,225
Ad Exchange,Smartphone,191666_1021,0.214825,151
Exchange Bidding,Desktop,188573_1118,0.214627,534
Exchange Bidding,Smartphone,186400_3014,0.212856,105
